,home_team,prediction,prediction.1,away_team,season,week,away_score,home_score,actual
926,CLE,9.1,9.0,PIT,2024,12,19.0,24.0,5.0
927,GB,3.6,0.4,SF,2024,12,10.0,38.0,28.0
928,NYG,-0.7,1.0,TB,2024,12,30.0,7.0,-23.0
929,HOU,-7.8,1.0,TEN,2024,12,32.0,27.0,-5.0
930,CHI,-7.3,0.6,ARI,2023,16,16.0,27.0,11.0
931,SF,-5.4,0.4,BAL,2023,16,33.0,19.0,-14.0
932,LAC,6.3,2.0,BUF,2023,16,24.0,22.0,-2.0
933,PIT,-1.7,0.4,CIN,2023,16,11.0,34.0,23.0
934,HOU,0.9,0.6,CLE,2023,16,36.0,22.0,-14.0
935,MIA,-4.4,0.3,DAL,2023,16,20.0,22.0,2.0
936,MIN,-2.1,0.7,DET,2023,16,30.0,24.0,-6.0
937,CAR,0.1,0.5,GB,2023,16,33.0,30.0,-3.0
938,ATL,0.1,0.6,IND,2023,16,10.0,29.0,19.0
939,TB,2.3,0.7,JAX,2023,16,12.0,30.0,18.0
940,KC,-8.5,0.7,LV,2023,16,20.0,14.0,-6.0
941,DEN,-0.7,1.0,NE,2023,16,26.0,23.0,-3.0
942,LA,-1.1,0.4,NO,2023,16,22.0,30.0,8.0
943,PHI,-8.4,0.7,NYG,2023,16,25.0,33.0,8.0
944,TEN,-3.2,0.4,SEA,2023,16,20.0,17.0,-3.0
945,NYJ,-3.6,0.5,WAS,2023,16,28.0,30.0,2.0
